CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember, EstimatedSalary ,Exited
15634602,Hargrave,619,France,Female,42,2, $-   ,1,1,1," $101,348.88 ",1
15647311,Hill,608,Spain,Female,41,1," $83,807.86 ",1,0,1," $112,542.58 ",0
15619304,Onio,502,France,Female,42,8," $159,660.80 ",3,1,0," $113,931.57 ",1
15701354,Boni,699,France,Female,39,1, $-   ,2,0,0," $93,826.63 ",0
15737888,Mitchell,850,Spain,Female,43,2," $125,510.82 ",1,1,1," $79,084.10 ",0
15574012,Chu,645,Spain,Male,44,8," $113,755.78 ",2,1,0," $149,756.71 ",1
15592531,Bartlett,822,France,Male,50,7, $-   ,2,1,1," $10,062.80 ",0
15656148,Obinna,376,Germany,Female,29,4," $115,046.74 ",4,1,0," $119,346.88 ",1
15792365,He,501,France,Male,44,4," $142,051.07 ",2,0,1," $74,940.50 ",0
15592389,H?,684,France,Male,27,2," $134,603.88 ",1,1,1," $71,725.73 ",0
15767821,Bearce,528,France,Male,31,6," $102,016.72 ",2,0,0," $80,181.12 ",0
15737173,Andrews,497,Spain,Male,24,3, $-   ,2,1,0," $76,390.01 ",0
15632264,Kay,476,France,Female,34,10, $-   ,2,1,0," $26,260.98 ",0
15691483,Chin,549,France,Female,25,5, $-   ,2,0,0," $190,857.79 ",0
15600882,Scott,635,Spain,Female,35,7, $-   ,2,1,1," $65,951.65 ",0
15643966,Goforth,616,Germany,Male,45,3," $143,129.41 ",2,0,1," $64,327.26 ",0
15737452,Romeo,653,Germany,Male,58,1," $132,602.88 ",1,1,0," $5,097.67 ",1
15788218,Henderson,549,Spain,Female,24,9, $-   ,2,1,1," $14,406.41 ",0
15661507,Muldrow,587,Spain,Male,45,6, $-   ,1,0,0," $158,684.81 ",0
15568982,Hao,726,France,Female,24,6, $-   ,2,1,1," $54,724.03 ",0
15577657,McDonald,732,France,Male,41,8, $-   ,2,1,1," $170,886.17 ",0
15597945,Dellucci,636,Spain,Female,32,8, $-   ,2,1,0," $138,555.46 ",0
15699309,Gerasimov,510,Spain,Female,38,4, $-   ,1,1,0," $118,913.53 ",1
15725737,Mosman,669,France,Male,46,3, $-   ,2,0,1," $8,487.75 ",0
15625047,Yen,846,France,Female,38,5, $-   ,1,1,1," $187,616.16 ",0
15738191,Maclean,577,France,Male,25,3, $-   ,2,0,1," $124,508.29 ",0
15736816,Young,756,Germany,Male,36,2," $136,815.64 ",1,1,1," $170,041.95 ",0
15700772,Nebechi,571,France,Male,44,9, $-   ,2,0,0," $38,433.35 ",0
15728693,McWilliams,574,Germany,Female,43,3," $141,349.43 ",1,1,1," $100,187.43 ",0
15656300,Lucciano,411,France,Male,29,0," $59,697.17 ",2,1,1," $53,483.21 ",0
15589475,Azikiwe,591,Spain,Female,39,3, $-   ,3,1,0," $140,469.38 ",1
15706552,Odinakachukwu,533,France,Male,36,7," $85,311.70 ",1,0,1," $156,731.91 ",0
15750181,Sanderson,553,Germany,Male,41,9," $110,112.54 ",2,0,0," $81,898.81 ",0
15659428,Maggard,520,Spain,Female,42,6, $-   ,2,1,1," $34,410.55 ",0
15732963,Clements,722,Spain,Female,29,9, $-   ,2,1,1," $142,033.07 ",0
15794171,Lombardo,475,France,Female,45,0," $134,264.04 ",1,1,0," $27,822.99 ",1
15788448,Watson,490,Spain,Male,31,3," $145,260.23 ",1,0,1," $114,066.77 ",0
15729599,Lorenzo,804,Spain,Male,33,7," $76,548.60 ",1,0,1," $98,453.45 ",0
15717426,Armstrong,850,France,Male,36,7, $-   ,1,1,1," $40,812.90 ",0
15585768,Cameron,582,Germany,Male,41,6," $70,349.48 ",2,0,1," $178,074.04 ",0
15619360,Hsiao,472,Spain,Male,40,4, $-   ,1,1,0," $70,154.22 ",0
15738148,Clarke,465,France,Female,51,8," $122,522.32 ",1,0,0," $181,297.65 ",1
15687946,Osborne,556,France,Female,61,2," $117,419.35 ",1,1,1," $94,153.83 ",0
15755196,Lavine,834,France,Female,49,2," $131,394.56 ",1,0,0," $194,365.76 ",1
